,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,4.25,4.75,1.25,1.75,111.12,0.0,0.00,93.9,-18.565,55.11
,Mixed / non conventional,4.25,4.75,1.75,2.25,103.31,0.1,0.00,-200.5,-30.206,55.11
,Mixed / non conventional,4.25,4.75,2.25,2.75,85.46,0.1,0.00,-109.3,-49.969,55.11
,Mixed / non conventional,4.25,4.75,2.75,3.25,64.35,0.2,0.00,71.6,-13.275,7.78
,Mixed / non conventional,4.25,4.75,3.25,3.75,44.94,0.1,0.00,-8.9,-37.085,7.78
,Mixed / non conventional,4.50,5.00,1.25,1.75,111.26,0.0,0.00,77.2,-14.788,55.98
,Mixed / non conventional,4.50,5.00,1.75,2.25,106.22,0.0,0.00,-183.9,-23.530,55.98
,Mixed / non conventional,4.50,5.00,2.25,2.75,91.38,0.0,0.00,-104.1,-37.595,55.98
,Mixed / non conventional,4.50,5.00,2.75,3.25,72.63,0.1,0.00,76.9,-65.734,55.98
,Mixed / non conventional,4.50,5.00,3.25,3.75,53.37,0.0,0.00,9.4,-144.907,55.98
,Mixed / non conventional,4.50,5.00,3.75,4.25,37.13,0.2,0.00,-281.9,-705.715,55.98
,Mixed / non conventional,4.50,5.00,4.25,1.50,42.25,0.2,0.00,311.8,985.893,55.98
,Mixed / non conventional,4.50,5.00,1.50,2.00,110.73,0.0,0.00,33.6,-18.791,55.98
,Mixed / non conventional,4.50,5.00,2.00,2.50,96.19,0.1,0.00,-113.5,-28.567,55.98
,Mixed / non conventional,4.50,5.00,2.50,3.00,83.50,0.0,0.00,237.3,-49.596,55.98
,Mixed / non conventional,4.50,5.00,3.00,3.50,66.79,0.2,0.00,-30.1,-13.114,7.40
,Mixed / non conventional,4.50,5.00,3.50,4.00,40.85,0.1,0.00,1.5,-32.084,7.40
,Mixed / non conventional,4.75,5.25,1.50,2.00,115.16,0.0,0.00,32.1,-14.763,53.99
,Mixed / non conventional,4.75,5.25,2.00,2.50,102.71,0.1,0.00,-110.6,-21.945,53.99
,Mixed / non conventional,4.75,5.25,2.50,3.00,92.73,0.1,0.00,231.8,-36.797,53.99
,Mixed / non conventional,4.75,5.25,3.00,3.50,78.35,0.0,0.00,-21.8,-68.399,53.99
,Mixed / non conventional,4.75,5.25,3.50,4.00,50.05,0.0,0.00,16.4,-131.077,53.99
,Mixed / non conventional,4.75,5.25,4.00,4.50,46.51,0.3,0.00,-341.8,-852.667,53.99
,Mixed / non conventional,4.75,5.25,4.50,1.75,49.72,0.2,0.00,354.8,1118.900,53.99
,Mixed / non conventional,4.75,5.25,1.75,2.25,111.72,0.0,0.00,-170.1,-18.286,53.99
,Mixed / non conventional,4.75,5.25,2.25,2.75,99.17,0.0,0.00,-100.3,-28.406,53.99
,Mixed / non conventional,4.75,5.25,2.75,3.25,82.71,0.0,0.00,85.5,-47.381,53.99
,Mixed / non conventional,4.75,5.25,3.25,3.75,65.08,0.1,0.00,50.6,-13.577,7.86
,Mixed / non conventional,4.75,5.25,3.75,4.25,42.04,0.2,0.00,-120.0,-35.081,7.86
,Mixed / non conventional,5.00,5.50,1.75,2.25,113.56,0.0,0.00,-157.7,-14.984,55.57
,Mixed / non conventional,5.00,5.50,2.25,2.75,103.85,0.0,0.00,-96.7,-22.837,55.57
,Mixed / non conventional,5.00,5.50,2.75,3.25,90.55,0.0,0.00,92.5,-36.980,55.57
,Mixed / non conventional,5.00,5.50,3.25,3.75,76.37,0.0,0.00,60.3,-68.615,55.57
,Mixed / non conventional,5.00,5.50,3.75,4.25,51.91,0.1,0.00,-107.3,-139.902,55.57
,Mixed / non conventional,5.00,5.50,4.25,4.75,59.02,0.2,0.00,-239.8,-1113.633,55.57
,Mixed / non conventional,5.00,5.50,4.75,2.00,60.02,0.1,0.00,335.1,1390.261,55.57
,Mixed / non conventional,5.00,5.50,2.00,2.50,105.64,0.2,0.00,-104.9,-17.796,55.57
,Mixed / non conventional,5.00,5.50,2.50,3.00,99.13,0.2,0.00,223.6,-29.223,55.57
,Mixed / non conventional,5.00,5.50,3.00,3.50,88.40,0.0,0.00,-9.2,-52.119,55.57
,Mixed / non conventional,5.00,5.50,3.50,4.00,61.16,0.1,0.00,35.1,-13.688,8.44
,Mixed / non conventional,5.00,5.50,4.00,4.50,50.27,0.1,0.00,-171.5,-45.009,8.44
,Mixed / non conventional,5.25,5.75,2.00,2.50,97.62,0.1,0.00,-102.2,-14.953,64.51
,Mixed / non conventional,5.25,5.75,2.50,3.00,93.90,0.1,0.00,218.8,-23.972,64.51
,Mixed / non conventional,5.25,5.75,3.00,3.50,86.93,0.0,0.00,-0.3,-41.215,64.51
,Mixed / non conventional,5.25,5.75,3.50,4.00,63.54,0.0,0.00,36.7,-66.272,64.51
,Mixed / non conventional,5.25,5.75,4.00,4.50,49.88,0.0,0.00,-159.9,-156.076,64.51
,Mixed / non conventional,5.25,5.75,4.50,5.00,45.79,0.2,0.00,-410.1,-1002.958,64.51
,Mixed / non conventional,5.25,5.75,5.00,2.25,48.28,0.1,0.00,378.1,1298.346,64.51
,Mixed / non conventional,5.25,5.75,2.25,2.75,96.89,0.0,0.00,-93.6,-18.949,64.51
,Mixed / non conventional,5.25,5.75,2.75,3.25,87.31,0.0,0.00,97.4,-29.883,64.51
,Mixed / non conventional,5.25,5.75,3.25,3.75,77.04,0.0,0.00,76.5,-52.734,64.51
,Mixed / non conventional,5.25,5.75,3.75,4.25,55.23,0.2,0.00,-77.6,-13.529,9.23
,Mixed / non conventional,5.25,5.75,4.25,4.75,49.32,0.1,0.00,-79.8,-48.321,9.23
