,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,2.50,3.00,83.06,0.0,0.00,-34.7,-33.526,76.08,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,95,7,1.2,00.000000,00.000000,17042705,1,0,11.83,12.39,23.1,27/04/2017 09:51:55,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.00,3.50,67.20,0.1,0.00,10.4,-15.499,76.08,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,95,7,1.2,00.000000,00.000000,17042705,2,0,11.83,12.39,23.1,27/04/2017 09:51:55,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.00,1.50,161.41,0.0,0.00,-6.0,-3027.553,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,1,0,11.92,12.37,23.1,27/04/2017 09:52:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.50,2.00,137.74,0.0,0.00,-12.2,-369.073,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,2,0,11.92,12.37,23.1,27/04/2017 09:52:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.00,2.50,103.21,0.0,0.00,19.2,-92.185,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,3,0,11.92,12.37,23.1,27/04/2017 09:52:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.50,3.00,130.97,0.0,0.00,-34.0,-53.174,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,4,0,11.92,12.37,23.1,27/04/2017 09:52:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.00,3.50,109.36,0.0,0.00,10.1,-23.908,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,5,0,11.92,12.37,23.1,27/04/2017 09:52:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.50,4.00,118.78,0.0,0.00,22.5,-15.580,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,6,0,11.92,12.37,23.1,27/04/2017 09:52:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,4.00,1.25,112.13,0.0,0.00,-49.7,945.464,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,7,0,11.92,12.37,23.1,27/04/2017 09:52:04,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.25,1.75,107.65,0.0,0.00,55.6,-631.003,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,8,0,11.92,12.37,23.1,27/04/2017 09:52:04,0.0,0.00,0.0
