,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Gapfiller,Synch,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,2.50,3.00,89.47,0.07,0.00,37.99,-42.792,90.150,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,116,10,1.3,00.000000,00.000000,17062204,1,0,11.92,12.41,26.0,23/06/2017 09:26:35,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.00,3.50,56.52,0.12,0.00,-26.47,-15.447,90.150,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,116,10,1.3,00.000000,00.000000,17062204,2,0,11.92,12.41,26.0,23/06/2017 09:26:35,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.00,1.50,284.49,0.03,0.00,-6.06,-5505.923,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,1,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.50,2.00,222.95,0.04,0.00,19.58,-616.406,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,2,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.00,2.50,161.32,0.03,0.00,-8.02,-148.669,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,3,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.50,3.00,168.35,0.04,0.00,37.90,-70.521,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,4,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.00,3.50,129.48,0.05,0.00,-25.92,-29.206,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,5,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.50,4.00,115.85,0.03,0.00,-30.47,-15.680,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,6,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,4.00,1.25,183.97,0.04,0.00,15.49,1600.464,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,7,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.25,1.75,180.77,0.03,0.00,-2.75,-1093.299,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,8,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,1.75,2.25,233.26,0.03,0.00,-16.48,-352.693,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,9,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.25,2.75,122.13,0.03,0.00,6.52,-73.861,57.001,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,91,5,1.6,00.000000,00.000000,17062204,10,0,11.98,12.39,26.0,23/06/2017 09:26:38,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.75,3.25,147.21,0.09,0.00,221.59,-25.828,33.071,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,54,2,1.6,00.000000,00.000000,17062204,1,0,12.07,12.41,25.5,23/06/2017 09:26:41,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.25,3.75,149.00,0.03,0.00,-227.94,-14.938,33.071,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,54,2,1.6,00.000000,00.000000,17062204,2,0,12.07,12.41,25.5,23/06/2017 09:26:41,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.25,1.75,86.00,0.00,0.00,-35.02,-2586.124,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,1,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.75,2.25,142.08,0.08,0.00,-23.72,-610.359,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,2,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,0,0.0,0.00,0.0
